LocationID,ApogeeID
518,4323,2M06372176+0949348
519,4579,2M06400203-0544088
520,4572,2M06400961+0941434
521,4572,2M06402309+0927423
522,4572,2M06402926+0926114
523,4572,2M06402976+0942212
524,4572,2M06404179+0949523
525,4572,2M06404516+0928444
526,4572,2M06405542+0937237
527,4572,2M06410497+0950460
528,4572,2M06410726+0958311
529,4572,2M06410798+0934469
530,4572,2M06410821+0938303
531,4572,2M06410899+0931088
532,4572,2M06411336+0938137
533,4572,2M06411484+0932358
534,4617,2M06412910-0027192
535,4572,2M06413207+1001049
536,4572,2M06413433+0925533
537,5159,2M06420510-0131459
538,4157,2M06421342+0159208
539,5159,2M06424701-0103425
540,4292,2M06425155-2355027
541,5159,2M06425173-0105030
542,5159,2M06430062-0132101
543,4617,2M06432872+0010360
544,4617,2M06435849-0100515
545,4157,2M06453172+0329125
546,4157,2M06455815+0359470
547,4157,2M06470468+0136073
548,4157,2M06470979+0307438
549,4602,2M06502133+2755152
550,4157,2M06502260+0249046
551,5108,2M06521953+2418502
552,4574,2M06522785+0715576
553,4569,2M06540094+1734275
554,5108,2M06543813+2333450
555,5108,2M06562404+2458256
556,4606,2M06563892+4319360
557,4569,2M06565845+1606213
558,5108,2M06573455+2456062
559,4607,2M06573841+3600153
560,4159,2M06574218+0433069
561,4324,2M07012946-0308517
562,4159,2M07013062+0505262
563,4159,2M07014968+0316145
564,4583,2M07023378-1157206
565,4607,2M07030889+3630193
566,4607,2M07042921+3611557
567,4159,2M07044375+0440182
568,4576,2M07090093+0203229
569,4608,2M07100305+2955418
570,4253,2M07125169+0710345
571,4608,2M07151462+3144055
572,4603,2M07152278+1409293
573,4253,2M07154275+0621084
574,4580,2M07155738-0456551
575,4608,2M07173524+3101330
576,4608,2M07182854+2924487
577,4603,2M07190696+1448526
578,4608,2M07193494+3110497
579,4609,2M07212735+2342096
580,2071,2M07235876+4058116
581,4609,2M07250686+2435451
582,4609,2M07261441+2237362
583,2070,2M07300562+3904071
584,4609,2M07301103+2342112
585,2071,2M07301372+4305434
586,2070,2M07304303+4111480
587,2075,2M07334111+3945001
588,2073,2M07335588+4703480
589,2075,2M07335741+4152582
590,2072,2M07340333+4525491
591,2075,2M07341546+4050347
592,2075,2M07341901+4132287
593,4610,2M07351558+1656540
594,2075,2M07352691+4106093
595,4222,2M07354458+3625363
596,4610,2M07355627+1643023
597,4147,2M07374816+2054204
598,2074,2M07380131+3722342
599,2073,2M07381814+4744325
